,epoch,total_train_losses,total_train_rcl,total_train_klds,total_test_losses,total_test_rcl,total_test_klds,num_conds,train_rcl,train_kld,test_rcl,test_kld
0,0,72.64415574645996,69.94554654693603,2.698609119594097,65.55928354644776,61.55616463470459,4.00311892914772,0,31.744016647338867,1.1907286643981934,29.386865615844727,1.7638394832611084
1,0,72.64415574645996,69.94554654693603,2.698609119594097,65.55928354644776,61.55616463470459,4.00311892914772,1,34.248573303222656,1.378490686416626,30.875459671020508,2.162315845489502
2,0,72.64415574645996,69.94554654693603,2.698609119594097,65.55928354644776,61.55616463470459,4.00311892914772,2,3.9529836177825928,0.12939058244228363,1.293831706047058,0.07696611434221268
3,1,63.637239688873294,55.68733936309815,7.949900380134583,60.62711594772339,47.33912033843994,13.287995546817779,0,27.31631851196289,3.903632402420044,22.95409393310547,6.535472393035889
4,1,63.637239688873294,55.68733936309815,7.949900380134583,60.62711594772339,47.33912033843994,13.287995546817779,1,27.21978759765625,4.008318901062012,23.88117218017578,6.691998481750488
5,1,63.637239688873294,55.68733936309815,7.949900380134583,60.62711594772339,47.33912033843994,13.287995546817779,2,1.1512341499328613,0.03795323148369789,0.5038373470306396,0.060524825006723404
6,2,60.31316464424133,47.69913478660583,12.614029870510102,60.22516149520874,45.64712553024292,14.57803589105606,0,23.86050033569336,6.390021324157715,22.211774826049805,7.297083377838135
7,2,60.31316464424133,47.69913478660583,12.614029870510102,60.22516149520874,45.64712553024292,14.57803589105606,1,23.374608993530273,6.201066017150879,23.09375762939453,7.229460716247559
8,2,60.31316464424133,47.69913478660583,12.614029870510102,60.22516149520874,45.64712553024292,14.57803589105606,2,0.4639964699745178,0.022943662479519844,0.34157171845436096,0.05148680880665779
9,3,59.884076969146726,46.76457157707215,13.119505443572997,59.324737033843995,46.49349639701843,12.831240668296815,0,23.30001449584961,6.7193217277526855,22.550710678100586,6.555902004241943
10,3,59.884076969146726,46.76457157707215,13.119505443572997,59.324737033843995,46.49349639701843,12.831240668296815,1,23.172603607177734,6.386290550231934,23.719913482666016,6.267218589782715
11,3,59.884076969146726,46.76457157707215,13.119505443572997,59.324737033843995,46.49349639701843,12.831240668296815,2,0.291939377784729,0.013890148140490055,0.22286562621593475,0.008117036893963814
12,4,59.59129673194885,46.174167039871215,13.417129793643952,58.87105479049683,46.18206887245178,12.688985961437226,0,23.238018035888672,6.847811698913574,22.398332595825195,6.471626281738281
13,4,59.59129673194885,46.174167039871215,13.417129793643952,58.87105479049683,46.18206887245178,12.688985961437226,1,22.70570945739746,6.5566511154174805,23.601348876953125,6.195296764373779
14,4,59.59129673194885,46.174167039871215,13.417129793643952,58.87105479049683,46.18206887245178,12.688985961437226,2,0.23044343292713165,0.012664190493524075,0.182408407330513,0.0220645684748888
15,5,59.27537288665771,45.84944805145264,13.425924895763398,58.93952584457397,45.51908863449097,13.420437123775482,0,22.79452133178711,6.89535665512085,22.2309513092041,6.737082004547119
16,5,59.27537288665771,45.84944805145264,13.425924895763398,58.93952584457397,45.51908863449097,13.420437123775482,1,22.866670608520508,6.519596576690674,23.132532119750977,6.6659836769104
17,5,59.27537288665771,45.84944805145264,13.425924895763398,58.93952584457397,45.51908863449097,13.420437123775482,2,0.18827053904533386,0.010976981371641159,0.15560923516750336,0.017373044043779373
18,6,59.25198615646362,45.2585551700592,13.993431118488312,58.62877229881287,43.463639019012454,15.16513335466385,0,22.664257049560547,7.1737799644470215,21.547279357910156,7.475047588348389
19,6,59.25198615646362,45.2585551700592,13.993431118488312,58.62877229881287,43.463639019012454,15.16513335466385,1,22.431711196899414,6.809504985809326,21.75729751586914,7.681019306182861
20,6,59.25198615646362,45.2585551700592,13.993431118488312,58.62877229881287,43.463639019012454,15.16513335466385,2,0.1626037061214447,0.010144942440092564,0.15903663635253906,0.009066547267138958
21,7,58.058035697937015,42.38067800140381,15.677357660293579,57.74140375900269,41.24067822265625,16.500725558280944,0,21.21224594116211,8.033784866333008,20.15027618408203,8.28897476196289
22,7,58.058035697937015,42.38067800140381,15.677357660293579,57.74140375900269,41.24067822265625,16.500725558280944,1,21.00519371032715,7.63214635848999,20.950212478637695,8.194917678833008
23,7,58.058035697937015,42.38067800140381,15.677357660293579,57.74140375900269,41.24067822265625,16.500725558280944,2,0.16322185099124908,0.011426287703216076,0.14017893373966217,0.016831187531352043
24,8,57.88207782936096,40.6253766784668,17.256701174736023,57.512615997314455,40.57879267311096,16.93382330417633,0,20.338895797729492,8.8170747756958,19.861495971679688,8.404988288879395
25,8,57.88207782936096,40.6253766784668,17.256701174736023,57.512615997314455,40.57879267311096,16.93382330417633,1,20.150592803955078,8.429681777954102,20.611268997192383,8.520054817199707
26,8,57.88207782936096,40.6253766784668,17.256701174736023,57.512615997314455,40.57879267311096,16.93382330417633,2,0.13587719202041626,0.009949319064617157,0.10603194683790207,0.008770042099058628
27,9,57.13085174369812,39.58031742286682,17.550534440994262,56.70794928359985,39.0276446723938,17.680304530143736,0,19.904062271118164,8.91706371307373,19.022695541381836,8.875941276550293
28,9,57.13085174369812,39.58031742286682,17.550534440994262,56.70794928359985,39.0276446723938,17.680304530143736,1,19.545848846435547,8.625187873840332,19.9314022064209,8.789020538330078
29,9,57.13085174369812,39.58031742286682,17.550534440994262,56.70794928359985,39.0276446723938,17.680304530143736,2,0.1304245889186859,0.008277960121631622,0.07356027513742447,0.015332172624766827
30,10,56.7868429107666,38.90621133041382,17.880631537437438,56.53591642379761,38.504796463012696,18.031119941711427,0,19.60284996032715,9.149658203125,19.138574600219727,8.935056686401367
